counterparty_account_key,counterparty_name,account_id,bank_id,jurisdiction
CP-700001,Prime Group,5NV2EQMKF28X,M4UPZ1NE1,MV
CP-700002,Horizon Group,ZYO1EZ0A3N8G,WBXXAQJC1,NO
CP-700003,Horizon Ventures,K56TL7AFECW8,2H3ILM92I,IM
CP-700004,Horizon Capital,ED99W3DMRUFR,JQ3N1H7UP,US
CP-700005,Global Capital,3CVPR4M98UVB,ISWXZZDO7,AG
CP-700006,Oceanic Services,TTQP1N3TCPDV,22DR9NC3D,BT
CP-700007,Northern Holdings,5DCRHF2V7EJ4,0GQAPWN8G,US
CP-700008,Prime Ventures,ICM76OG7AV6I,4IHHC2FRZ,CK
CP-700009,Global Logistics,TSPKY9YJVCPT,YP4PM0JK5,FO
CP-700010,Northern Trading,MVCOT7QCYIQX,3QD3TFLBX,TV
CP-700011,Blue Holdings,75TO07CD7GA5,S3XSIX4PI,US
CP-700012,Summit Ventures,G8D3RWYKE9O8,600LDXGAK,US
CP-700013,Blue Trading,9M4HJ45TLILK,514DKWEQL,CR
CP-700014,Global Holdings,ROK0PMUJVWYU,OTSS71KJA,US
CP-700015,Blue Group,N25NIGF0ZATL,I6ZDWFLN9,US
CP-700016,Blue Partners,XLA53PT2UE02,WCW5CEXWU,US
CP-700017,Atlas Group,ORNL8MI76SRG,JWBL0USXV,US
CP-700018,Horizon Partners,PVKETFT8RJWB,OPC7ASZF3,GE
CP-700019,Atlas Capital,V0EGQT94E0MJ,BO5KHF7K7,US
CP-700020,Blue Logistics,MRCLWDZCK07C,8NIM4FYJ1,US
CP-700021,Summit Logistics,6B0J83KQ793H,LG2LMOD7A,US
CP-700022,Prime Ventures,FHDNP592HXEP,USLD2LREA,US
CP-700023,Global Trading,I9H51RH5VJV2,PUJL21QC9,US
CP-700024,Global Holdings,24U98SH3RWRQ,0P0VNVB7L,SO
CP-700025,Blue Services,QP7CBXN17GQL,3ARI8ZS8E,US
CP-700026,Blue Trading,L5FPBXQQ5EO5,30JMR809V,US
CP-700027,Summit Partners,XY63GBR14UX5,LUIHTJ999,US
CP-700028,Global Ventures,DOXUO3QRU2X8,3D7X8YJ1S,ME
CP-700029,Oceanic Services,467ZFHAEGO4O,UMDAODPR5,US
CP-700030,Oceanic Logistics,XCI8C5JE04ZI,7CNKHK8T6,US
CP-700031,Atlas Partners,LE0O5J43XUT9,KRWR57Q6M,US
CP-700032,Oceanic Services,ZORBSOBVMN5O,6ES6W4MKL,US
CP-700033,Horizon Services,XHGJXIO6L01A,H4BSWY771,LI
CP-700034,Oceanic Logistics,GL2XCLUG2YRG,CBFI0ZEOF,US
CP-700035,Atlas Holdings,FPC6B6L1A8PS,SWGOGZYAW,US
CP-700036,Summit Ventures,VW2QZ6SW64D2,F1JPAUSQ8,US
CP-700037,Atlas Partners,UUBTT3IHUZ8Z,S9TJ3A4HF,GS
CP-700038,Horizon Partners,XBLJ7HZM2NGC,QVPHPP7TQ,GY
CP-700039,Summit Services,JAGO2S5717WW,R5PXPZ4C5,US
CP-700040,Atlas Logistics,XEE1KB9QZDFR,JHM4PEM59,US
CP-700041,Oceanic Ventures,VF18E5RWKLGZ,BD2LM9AN3,US
CP-700042,Global Partners,80VA26FWE0XU,9JK67Z9SV,US
CP-700043,Summit Services,D1TJOQ4GVC3Y,4KSHFYDXG,TN
CP-700044,Global Group,4IPR4O5RCQMM,0F98C7VNR,US
CP-700045,Horizon Group,6DLBY3YRBYMP,GT3VOSPW2,VI
CP-700046,Horizon Trading,59LZH4VG3UOQ,0RNKFAYUU,US
CP-700047,Atlas Partners,HPUJF5RUL07U,SOSBTP7XG,US
CP-700048,Northern Group,UAZGEOLC579S,PGF1L1HPY,US
CP-700049,Horizon Logistics,65DV71D0N34M,6X1VSHYWL,US
CP-700050,Prime Logistics,LPTYDJ0NY5P1,LR52RGZ02,ID
CP-700051,Prime Holdings,LLEEGHT19ZI7,7AQI3XP0A,US
CP-700052,Atlas Group,EDO758PV8CXJ,WSEP7XF4B,US
CP-700053,Horizon Ventures,MS1VNO2N2BPQ,GW1JZ2KJY,US
CP-700054,Blue Holdings,23RD1FZWB744,SYL19JEMC,US
CP-700055,Prime Logistics,IO4Z2WJ0U8M0,84YW1EANL,US
CP-700056,Horizon Logistics,HAD295WJHIH1,91ZA83QDI,IO
CP-700057,Horizon Group,YCK211W51Z8M,X6JBRFVKG,USPer
